net,length_um
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_E2BEGb\[7\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_E6BEG\[6\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_EE4BEG\[0\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_EE4BEG\[14\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_FrameData_O\[12\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_FrameData_O\[17\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_FrameData_O\[20\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_W2BEGb\[0\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_W6BEG\[8\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_WW4BEG\[0\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_WW4BEG\[10\],11.29µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_E2BEG\[5\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_E2BEGb\[6\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_EE4BEG\[14\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_EE4BEG\[4\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_EE4BEG\[7\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_FrameData_O\[10\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_FrameData_O\[14\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_FrameData_O\[19\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_FrameData_O\[2\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_FrameData_O\[7\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y12_W2BEG\[4\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y12_W2BEGb\[4\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y12_W6BEG\[10\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y12_W6BEG\[11\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y12_WW4BEG\[10\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y12_WW4BEG\[14\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y12_WW4BEG\[6\],11.28µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_FrameData_O\[2\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_FrameData_O\[8\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_E6BEG\[4\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_EE4BEG\[11\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_EE4BEG\[12\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_EE4BEG\[2\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_EE4BEG\[4\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_FrameData_O\[4\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_FrameData_O\[6\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_W2BEGb\[2\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_W6BEG\[11\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_W6BEG\[1\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_WW4BEG\[0\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_WW4BEG\[7\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_WW4BEG\[8\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_W2BEG\[2\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_W2BEG\[6\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_W6BEG\[11\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_W6BEG\[8\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_WW4BEG\[12\],11.27µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_E1BEG\[3\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_E2BEG\[5\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_E2BEG\[6\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_E2BEGb\[1\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_E6BEG\[8\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_EE4BEG\[13\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_EE4BEG\[3\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_EE4BEG\[9\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_FrameData_O\[22\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y10_FrameData_O\[9\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_W2BEGb\[2\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_W6BEG\[1\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_W6BEG\[7\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_WW4BEG\[14\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_WW4BEG\[15\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_WW4BEG\[2\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y10_WW4BEG\[7\],11.26µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_E2BEG\[0\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_E2BEG\[2\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_E2BEGb\[1\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_E2BEGb\[4\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_E2BEGb\[5\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_E6BEG\[1\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_E6BEG\[7\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_EE4BEG\[14\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_EE4BEG\[9\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_FrameData_O\[10\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_FrameData_O\[12\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_FrameData_O\[18\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_FrameData_O\[1\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_E2BEG\[4\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_E2BEGb\[2\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_E2BEGb\[6\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_E6BEG\[3\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_E6BEG\[5\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_E6BEG\[8\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_EE4BEG\[15\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_EE4BEG\[5\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_EE4BEG\[7\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_FrameData_O\[13\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_FrameData_O\[2\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_FrameData_O\[3\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_W2BEGb\[5\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_W6BEG\[10\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_W6BEG\[5\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_WW4BEG\[10\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_WW4BEG\[11\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y4_WW4BEG\[6\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_W2BEG\[1\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_W2BEGb\[1\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_W2BEGb\[4\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_W6BEG\[6\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_WW4BEG\[1\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_WW4BEG\[4\],11.24µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y7_WW4BEG\[9\],11.24µm
_0195_,11.205µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_E1BEG\[2\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_E2BEG\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_E2BEG\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_EE4BEG\[1\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_EE4BEG\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_EE4BEG\[5\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_FrameData_O\[13\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_FrameData_O\[17\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_FrameData_O\[24\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_FrameData_O\[5\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y13_FrameData_O\[8\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_E2BEG\[0\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_E2BEG\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_E6BEG\[0\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_E6BEG\[6\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_EE4BEG\[1\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_FrameData_O\[17\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y14_FrameData_O\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_E1BEG\[1\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_E2BEG\[5\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_E2BEG\[6\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_E2BEGb\[4\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_E6BEG\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_EE4BEG\[8\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_FrameData_O\[10\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_FrameData_O\[12\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y2_FrameData_O\[19\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_E2BEGb\[4\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_E6BEG\[0\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_E6BEG\[11\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_FrameData_O\[15\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_FrameData_O\[20\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_FrameData_O\[23\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_E2BEG\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_E2BEG\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_E6BEG\[10\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_E6BEG\[9\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_FrameData_O\[14\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_FrameData_O\[18\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y8_FrameData_O\[20\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_E1BEG\[0\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_E2BEG\[2\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_E2BEGb\[2\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_E2BEGb\[4\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_E6BEG\[2\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_E6BEG\[8\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_EE4BEG\[2\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_EE4BEG\[5\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_FrameData_O\[19\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_FrameData_O\[1\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y9_FrameData_O\[6\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y13_W2BEGb\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y13_WW4BEG\[14\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y13_WW4BEG\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y14_W2BEGb\[1\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y14_W6BEG\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y14_WW4BEG\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y2_W2BEGb\[2\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y2_W2BEGb\[5\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y2_W6BEG\[11\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y2_W6BEG\[9\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y2_WW4BEG\[5\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y3_W2BEGb\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y3_W2BEGb\[4\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y3_W6BEG\[2\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y3_W6BEG\[4\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y3_WW4BEG\[5\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y8_W2BEGb\[4\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y8_W6BEG\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y8_W6BEG\[8\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y8_WW4BEG\[15\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y8_WW4BEG\[4\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y8_WW4BEG\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y9_W2BEG\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y9_W6BEG\[5\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y9_W6BEG\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y9_WW4BEG\[11\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y9_WW4BEG\[2\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_S1BEG\[3\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEG\[7\],11.06µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_S1BEG\[2\],10.6µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEGb\[0\],10.6µm
_0369_,10.245µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_S1BEG\[0\],10.14µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_S1BEG\[1\],10.14µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEGb\[1\],10.14µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEGb\[2\],10.14µm
_0222_,10.025µm
_0420_,9.995µm
_0001_,9.825µm
_0088_,9.545µm
_0300_,9.365µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEGb\[3\],9.22µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N4BEG\[15\],9.22µm
_0152_,9.145µm
_0345_,8.985µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEGb\[4\],8.76µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N4BEG\[14\],8.76µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEGb\[5\],8.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N4BEG\[13\],8.3µm
_0143_,8.225µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S1BEG\[0\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S1BEG\[1\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S1BEG\[2\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEG\[0\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEG\[2\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEG\[3\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEG\[4\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEG\[5\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEG\[6\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEG\[7\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEGb\[0\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEGb\[1\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEGb\[2\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEGb\[3\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEGb\[4\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEGb\[5\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEGb\[6\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S2BEGb\[7\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[0\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[10\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[11\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[12\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[14\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[15\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[1\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[2\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[3\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_S4BEG\[9\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[0\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[10\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[11\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[12\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[13\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[14\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[15\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[1\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[2\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[3\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[4\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[5\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[6\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[8\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y14_SS4BEG\[9\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_Co,8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[0\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[10\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[11\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[12\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[13\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[14\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[15\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[16\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[17\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[18\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[1\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[2\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[3\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_FrameStrobe_O\[4\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[0\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[10\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[11\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[12\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[13\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[14\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[15\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[1\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[2\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[3\],8.04µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y15_NN4BEG\[4\],8.04µm
_0414_,8.025µm
_0264_,7.985µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEGb\[6\],7.84µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N4BEG\[12\],7.84µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N2BEGb\[7\],7.38µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N4BEG\[11\],7.38µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N4BEG\[0\],6.92µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y15_N4BEG\[10\],6.92µm
io_oeb[15],6.89µm
io_oeb[7],6.89µm
io_out[17],6.89µm
io_out[19],6.89µm
io_out[9],6.89µm
io_in[1],6.77µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S1BEG\[0\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S1BEG\[1\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S1BEG\[2\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S1BEG\[3\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEG\[0\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEG\[1\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEG\[2\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEG\[3\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEG\[4\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEG\[5\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEG\[6\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEGb\[0\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEGb\[1\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEGb\[2\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEGb\[3\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEGb\[4\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEGb\[5\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEGb\[6\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEGb\[7\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[0\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[10\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[11\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[12\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[13\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[14\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[15\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[1\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[2\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[4\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[5\],6.66µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S4BEG\[6\],6.66µm
