net,length_um
eFPGA_top_i.eFPGA_inst.Tile_X9Y9_FAB2RAM_D2_O0,804.11µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y3_FAB2RAM_D2_O0,803.1µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y2_E2BEG\[2\],795.82µm
_0080_,794.88µm
net168,791.12µm
eFPGA_top_i.FrameData\[119\],783.71µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y4_B_I_top,783.66µm
eFPGA_top_i.FrameData\[356\],783.59µm
eFPGA_top_i.FrameData\[118\],778.27µm
_0472_,777.88µm
eFPGA_top_i.FrameSelect\[30\],760.46µm
net160,756.57µm
net148,748.62µm
eFPGA_top_i.FrameData\[60\],748.61µm
eFPGA_top_i.eFPGA_inst.Tile_X4Y1_S2BEG\[6\],741.95µm
_0328_,736.54µm
eFPGA_top_i.FrameData\[454\],726.32µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y14_E6BEG\[4\],716.46µm
_0468_,716.22µm
eFPGA_top_i.eFPGA_inst.Tile_X1Y1_S2BEG\[7\],712.87µm
_0463_,701.78µm
net135,701.6µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y12_A_T_top,696.53µm
net61,679.16µm
eFPGA_top_i.FrameData\[324\],679µm
eFPGA_top_i.FrameData\[404\],670.01µm
eFPGA_top_i.FrameData\[52\],668.05µm
net166,665.76µm
net177,664.74µm
net98,663.24µm
eFPGA_top_i.eFPGA_inst.Tile_X8Y14_FrameData_O\[13\],656.17µm
eFPGA_top_i.FrameData\[187\],644.08µm
_0100_,643.9µm
_0315_,640.66µm
_0484_,640.24µm
_0459_,639.98µm
eFPGA_top_i.FrameData\[457\],638.24µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y3_B_I_top,634.13µm
eFPGA_top_i.FrameData\[334\],633.14µm
_0004_,632.28µm
eFPGA_top_i.FrameData\[393\],631.765µm
eFPGA_top_i.eFPGA_inst.Tile_X4Y1_S2BEG\[1\],629.27µm
net164,626.16µm
net170,623.5µm
_0390_,614.86µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_W2BEGb\[0\],614.15µm
eFPGA_top_i.FrameData\[382\],610.24µm
_0458_,603.74µm
eFPGA_top_i.FrameData\[450\],603.61µm
_0073_,594.3µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_W1BEG\[2\],594.09µm
eFPGA_top_i.FrameData\[45\],593.87µm
_0402_,592.62µm
eFPGA_top_i.FrameData\[466\],592.29µm
_0393_,588.32µm
eFPGA_top_i.FrameSelect\[110\],588.15µm
net112,587.48µm
_0467_,587.24µm
net159,586.94µm
eFPGA_top_i.FrameSelect\[8\],585.98µm
eFPGA_top_i.FrameData\[424\],585.93µm
eFPGA_top_i.eFPGA_inst.Tile_X4Y1_S4BEG\[3\],583.23µm
eFPGA_top_i.eFPGA_inst.Tile_X2Y1_S1BEG\[0\],581.9µm
_0084_,580.24µm
eFPGA_top_i.FrameData\[93\],575.09µm
net156,574.22µm
eFPGA_top_i.eFPGA_inst.Tile_X7Y1_S4BEG\[4\],570.86µm
eFPGA_top_i.eFPGA_inst.Tile_X2Y1_S4BEG\[13\],570.15µm
_0375_,570µm
eFPGA_top_i.eFPGA_inst.Tile_X5Y1_S4BEG\[6\],569.02µm
net162,567.57µm
eFPGA_top_i.eFPGA_inst.Tile_X9Y14_W6BEG\[0\],565.1µm
eFPGA_top_i.FrameData\[144\],561.99µm
_0014_,560.54µm
net38,557.56µm
eFPGA_top_i.FrameData\[329\],554.57µm
eFPGA_top_i.eFPGA_inst.Tile_X0Y7_B_I_top,550.33µm
eFPGA_top_i.FrameData\[35\],548.81µm
eFPGA_top_i.FrameData\[156\],548.45µm
eFPGA_top_i.FrameSelect\[35\],547.48µm
eFPGA_top_i.FrameData\[63\],546.29µm
eFPGA_top_i.FrameData\[39\],542.39µm
net157,540.46µm
eFPGA_top_i.eFPGA_inst.Tile_X4Y2_N4BEG\[10\],540.23µm
eFPGA_top_i.eFPGA_inst.Tile_X2Y2_N4BEG\[10\],539.75µm
eFPGA_top_i.FrameData\[106\],539.16µm
